"","id","reference","authors","consortium","title","journal","pubmed","remark","year","new_id"
"1",4001,"1  (bases 1 to 556)","Wu,Z.A., Liu,W.X., Murphy,C. and Gall,J.",NA,"Satellite 1 DNA sequence from genomic DNA of the giant panda	Ailuropoda melanoleuca","Nucleic Acids Res. 18 (4), 1054 (1990)","2315021",NA,1990,1
"2",4002,"2  (bases 1 to 556)","Gall,J.",NA,"Direct Submission","Submitted (12-DEC-1989) Gall J., Carnegie Institution, 115 West	University Parkway, Baltimore MD 21210, U S A",NA,NA,1989,2
"3",5001,"1","Bendixen,E., Halkier,T., Magnusson,S., Sottrup-Jensen,L. and	Kristensen,T.",NA,"Complete primary structure of bovine beta 2-glycoprotein I:	localization of the disulfide bridges","Biochemistry 31 (14), 3611-3617 (1992)","1567819",NA,1992,3
"4",5002,"2  (bases 1 to 1136)","Kristensen,T.",NA,"Direct Submission","Submitted (11-JUN-1991) T. Kristensen, Dept of Mol Biology,	University of Aarhus, C F Mollers Alle 130, DK-8000 Aarhus C,	DENMARK",NA,NA,1991,4
"5",7001,"1  (bases 1 to 437)","Kiefer,M.C., Saphire,A.C.S., Bauer,D.M. and Barr,P.J.",NA,"","Unpublished",NA,NA,NA,5
"6",7002,"2  (bases 1 to 437)","Kiefer,M.C.",NA,"Direct Submission","Submitted (30-JAN-1990) Kiefer M.C., Chiron Corporation, 4560	Hortom St, Emeryville CA 94608-2916, U S A",NA,NA,1990,6
